time,open,high,low,close,volume,source,timeframe
2018-07-03,110.879,111.128,110.385,110.413,48546,MT5,D1
2018-07-04,110.412,110.551,110.278,110.501,42212,MT5,D1
2018-07-05,110.5,110.719,110.289,110.561,47854,MT5,D1
2018-07-06,110.564,110.782,110.379,110.45,38230,MT5,D1
2018-07-08,110.41,110.466,110.381,110.438,3302,MT5,D1
2018-07-09,110.437,110.969,110.348,110.949,37993,MT5,D1
2018-07-10,110.952,111.349,110.785,110.852,43108,MT5,D1
2018-07-11,110.85,112.172,110.765,111.975,57144,MT5,D1
2018-07-12,111.974,112.694,111.962,112.664,45692,MT5,D1
2018-07-13,112.664,112.796,112.275,112.336,38380,MT5,D1
2018-07-15,112.194,112.453,112.194,112.397,3669,MT5,D1
2018-07-16,112.398,112.558,112.223,112.38,35461,MT5,D1
2018-07-17,112.38,113.066,112.223,113.023,46973,MT5,D1
2018-07-18,113.02,113.133,112.711,112.799,42965,MT5,D1
2018-07-19,112.797,113.168,112.058,112.361,51472,MT5,D1
2018-07-20,112.361,112.618,111.385,111.425,53632,MT5,D1
2018-07-22,111.369,111.492,111.04,111.056,4346,MT5,D1
2018-07-23,111.057,111.539,110.745,111.461,50270,MT5,D1
2018-07-24,111.462,111.462,110.958,111.278,46480,MT5,D1
2018-07-25,111.27,111.371,110.662,110.855,52930,MT5,D1
2018-07-26,110.855,111.244,110.582,111.154,44130,MT5,D1
2018-07-27,111.155,111.235,110.796,110.98,39578,MT5,D1
2018-07-29,110.927,110.996,110.896,110.939,3704,MT5,D1
2018-07-30,110.941,111.157,110.887,110.998,37350,MT5,D1
2018-07-31,110.996,111.953,110.74,111.83,53794,MT5,D1
2018-08-01,111.825,112.146,111.391,111.641,43999,MT5,D1
2018-08-02,111.639,111.73,111.315,111.698,44977,MT5,D1
2018-08-03,111.699,111.869,111.099,111.247,38124,MT5,D1
2018-08-05,111.224,111.245,111.154,111.235,3507,MT5,D1
2018-08-06,111.234,111.522,111.166,111.333,34208,MT5,D1
2018-08-07,111.332,111.474,110.992,111.347,32735,MT5,D1
2018-08-08,111.346,111.433,110.834,110.908,35239,MT5,D1
2018-08-09,110.907,111.18,110.705,111.079,38846,MT5,D1
2018-08-10,111.08,111.127,110.515,110.802,53371,MT5,D1
2018-08-12,110.689,110.71,110.418,110.628,5230,MT5,D1
2018-08-13,110.627,110.929,110.107,110.626,55730,MT5,D1
2018-08-14,110.626,111.31,110.585,111.253,45848,MT5,D1
2018-08-15,111.253,111.425,110.431,110.573,51250,MT5,D1
2018-08-16,110.571,111.113,110.456,111.012,48576,MT5,D1
