Date,Open,High,Low,Close,Volume
2018-07-03,1.16413,1.16725,1.16202,1.16589,53715
2018-07-04,1.16586,1.1681,1.16304,1.16599,42922
2018-07-05,1.16601,1.17196,1.16493,1.16917,57047
2018-07-06,1.16916,1.17672,1.16796,1.17438,49513
2018-07-08,1.17387,1.17534,1.17387,1.17516,2777
2018-07-09,1.17514,1.17903,1.17324,1.17558,49310
2018-07-10,1.17557,1.1762,1.16902,1.1728,51654
2018-07-11,1.17279,1.17578,1.16653,1.16747,61092
2018-07-12,1.16748,1.16952,1.16495,1.16635,52433
2018-07-13,1.16636,1.16863,1.16128,1.16839,47663
2018-07-15,1.16885,1.16907,1.16763,1.1678,2434
2018-07-16,1.16781,1.1725,1.16753,1.1709,46434
2018-07-17,1.17088,1.17443,1.16471,1.16527,53421
2018-07-18,1.16531,1.16642,1.16018,1.16446,51801
2018-07-19,1.16446,1.16782,1.15743,1.16534,61627
2018-07-20,1.16533,1.17383,1.16257,1.17186,60345
2018-07-22,1.17246,1.17445,1.17224,1.17403,3517
2018-07-23,1.17401,1.17495,1.16833,1.16933,51178
2018-07-24,1.16931,1.17166,1.16543,1.16842,52953
2018-07-25,1.16845,1.17381,1.16641,1.17375,55721
2018-07-26,1.17376,1.17431,1.16363,1.16433,53949
2018-07-27,1.16434,1.16639,1.16203,1.16545,45950
2018-07-29,1.16547,1.16599,1.16529,1.1659,2539
2018-07-30,1.16589,1.17183,1.16476,1.17069,41153
2018-07-31,1.1707,1.17454,1.16821,1.16887,51348
2018-08-01,1.16886,1.16991,1.16569,1.16628,48049
2018-08-02,1.16629,1.16672,1.15803,1.15847,50163
2018-08-03,1.15846,1.16101,1.156,1.15665,47515
2018-08-05,1.15687,1.15697,1.15591,1.15611,2983
2018-08-06,1.1561,1.15699,1.15298,1.15577,43875
2018-08-07,1.15576,1.16079,1.15512,1.16027,43246
2018-08-08,1.16027,1.16274,1.15729,1.16088,43440
2018-08-09,1.16089,1.16188,1.15156,1.15238,49345
2018-08-10,1.15237,1.15361,1.13878,1.14094,66724
2018-08-12,1.13958,1.14076,1.13703,1.13943,3422
2018-08-13,1.13943,1.14324,1.13646,1.14002,64980
2018-08-14,1.14001,1.14291,1.13299,1.13464,57930
2018-08-15,1.13463,1.13544,1.13007,1.13415,58516
2018-08-16,1.13413,1.14087,1.13356,1.13715,60196
2018-08-17,1.13715,1.14444,1.1366,1.14375,50069
